index	ipa	uey	ukyc	ukyl	ulyc	ulyl
0	/χ/	خ‎	Х	х	X	x
1	/ɡ/	گ‎	Г	г	G	g
2	/ɛ/	ئە‎	Ә	ә	E	e
3	/ɑ/	ئا‎	А	а	A	a
4	/ø/	ئۆ‎	Ө	ө	Ö	ö
5	/z/	ز‎	З	з	Z	z
6	/y/	ئۈ‎	Ү	ү	Ü	ü
7	/v/,/w/	ۋ‎	В	в	W	w
8	/u/	ئۇ‎	У	у	U	u
9	/t/	ت‎	Т	т	T	t
10	/s/	س‎	С	с	S	s
11	/r/	ر‎	Р	р	R	r
12	/q/	ق‎	Қ	қ	Q	q
13	/p/	پ‎	П	п	P	p
14	/o/	ئو‎	О	о	O	o
15	/n/	ن‎	Н	н	N	n
16	/m/	م‎	М	м	M	m
17	/l/	ل‎	Л	л	L	l
18	/k/	ك‎	К	к	K	k
19	/j/	ي‎	Й	й	Y	y
20	/i/	ئى‎	И	и	I	i
21	/h/	ھ‎	Һ	һ	H	h
22	/f/	ف‎	Ф	ф	F	f
23	/e/	ئې‎	Е	е	Ë	ë
24	/d͡ʒ/	ج‎	Җ	җ	J	j
25	/d/	د‎	Д	д	D	d
26	/b/	ب‎	Б	б	B	b
27	/ʒ/	ژ‎	Ж	ж	Zh	zh
28	/ʃ/	ش‎	Ш	ш	Sh	sh
29	/ʁ/	غ‎	Ғ	ғ	Gh	gh
30	/ŋ/	ڭ‎	Ң	ң	Ng	ng
31	/t͡ʃ/	چ‎	Ч	ч	Ch	ch
32	/ju/	ي‍‍ۇ‎	Ю	ю	Yu	yu
33	/ja/	ي‍‍ا‎	Я	я	Ya	ya
